0,0,0,0,0,0,0
1.885204202614903,0.11898180063235397,3.230130401968121,57.47683422146141,50.094109287449655,51.498967054238705,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00026089]
21.86315222822949,3.8114817625462094,1.0890732651263257,58.91077165686895,56.53784291089719,43.4959572445465,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[9.335226e-06]
7.1935751563313355,11.93469709529727,59.86333380222138,22.982006029545914,20.497519131569813,58.71685444383799,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[1.7146504e-06]
7.3677416608726976,5.142151646674524,58.575365091496856,31.623193569287153,20.602959529481115,56.75358997818721,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[1.7266949e-06]
59.826203490450325,52.61331014469219,59.28776406676899,59.253202666902595,44.75999149423631,24.779932813276517,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00079486]
57.38384841815157,55.936374472430906,58.17505763664473,59.35507040996297,58.4529857521503,22.270157240647194,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00079551]
7.264211266466294,56.22855252268369,4.698833316801705,20.0892943543045,59.87099139060698,36.25656608947078,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.001219]
4.8250663095444635,4.1889001516749635,54.86883605226793,59.912133421384965,59.697705530836544,20.562669740160644,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00038627]
24.043739406257885,4.515999006835618,0.04538347537393017,22.021667423427598,20.519351361390616,58.872800018026325,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[2.1753418e-05]
2.4109996107826692,56.73974704109817,1.5895213659656449,20.036292415683604,59.04212458167473,27.052240237700907,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00013235]
0.40348306226958064,58.13531510773152,1.5070617409907539,20.788119237656698,34.347435574035046,55.125458536786795,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00035703]
5.301456312787398,1.3459036915958467,59.94576059151903,54.01741865262965,57.77305131832184,49.00232073305093,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[1.322286e-05]
58.91050492995736,58.985017364778635,2.0965765603764708,23.38240529491557,20.82384820651668,24.696090805479844,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[5.573597e-07]
55.362795407912856,56.39098865382381,59.47961163575434,55.86378574831768,20.53369854241445,49.90373496864573,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.0001435]
0.4033235878713337,23.350992647805693,21.738685877565793,20.31865527264468,58.9262983177659,21.057283330061615,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[8.054412e-05]
0.9465615174010789,59.07946898793402,49.61697872985908,21.981194691558837,59.84685063418241,20.34988574268435,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[9.7279466e-05]
41.745032610010426,26.167761592136305,6.2611484395784185,43.69318577754006,50.14508461801593,58.03679569641868,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.0001407]
59.96212674240673,58.96330749998551,18.527497641973174,55.33143622128125,21.99920759322567,20.15370402454331,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[5.756608e-05]
59.975668523865366,43.65893380787506,12.429035348053954,57.29087139603736,21.10860493938633,21.8945526427051,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[5.755993e-05]
59.683655975676515,56.93688815651594,59.23672717685303,20.984307289850456,21.502674607566483,31.51135781235172,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[6.5987755e-05]
56.794527523152425,52.711529278576954,1.7787044050925127,32.708425431356055,21.42694131935166,56.77680774834414,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[5.6719775e-05]
55.93946158920639,58.543959233904744,3.7835870515545977,24.195759623926598,56.44934405524033,20.89997389467825,<module 'numpy' from 'C:\\Users\\kyk62\\PycharmProjects\\seminar\\venv\\lib\\site-packages\\numpy\\__init__.py'>,[0.00011559]
